"g1","g2","team1","team2"
1,0,"Sampdoria ","Juventus  "
2,0,"Torino    ","Juventus  "
3,3,"Verona    ","Juventus  "
1,4,"Ascoli    ","Lazio     "
1,0,"Atalanta  ","Lazio     "
1,2,"Bari      ","Lazio     "
0,1,"Cagliari  ","Lazio     "
2,0,"Cremonese ","Lazio     "
1,1,"Fiorentina","Lazio     "
2,1,"Foggia    ","Lazio     "
1,0,"Genoa     ","Lazio     "
1,0,"Inter     ","Lazio     "
1,1,"Juventus  ","Lazio     "
2,0,"Milan     ","Lazio     "
3,0,"Napoli    ","Lazio     "
1,0,"Parma     ","Lazio     "
1,1,"Roma      ","Lazio     "
1,0,"Sampdoria ","Lazio     "
0,1,"Torino    ","Lazio     "
0,2,"Verona    ","Lazio     "
0,1,"Ascoli    ","Milan     "
0,2,"Atalanta  ","Milan     "
0,1,"Bari      ","Milan     "
1,4,"Cagliari  ","Milan     "
1,1,"Cremonese ","Milan     "
0,0,"Fiorentina","Milan     "
2,8,"Foggia    ","Milan     "
0,0,"Genoa     ","Milan     "
1,1,"Inter     ","Milan     "
1,1,"Juventus  ","Milan     "
1,1,"Lazio     ","Milan     "
1,1,"Napoli    ","Milan     "
1,3,"Parma     ","Milan     "
1,1,"Roma      ","Milan     "
0,2,"Sampdoria ","Milan     "
2,2,"Torino    ","Milan     "
0,1,"Verona    ","Milan     "
1,4,"Ascoli    ","Napoli    "
1,1,"Atalanta  ","Napoli    "
1,3,"Bari      ","Napoli    "
0,0,"Cagliari  ","Napoli    "
0,0,"Cremonese ","Napoli    "
4,2,"Fiorentina","Napoli    "
1,0,"Foggia    ","Napoli    "
3,4,"Genoa     ","Napoli    "
0,0,"Inter     ","Napoli    "
3,1,"Juventus  ","Napoli    "
3,3,"Lazio     ","Napoli    "
5,0,"Milan     ","Napoli    "
2,1,"Parma     ","Napoli    "
1,1,"Roma      ","Napoli    "
1,1,"Sampdoria ","Napoli    "
0,0,"Torino    ","Napoli    "
0,1,"Verona    ","Napoli    "
2,3,"Ascoli    ","Parma     "
0,1,"Atalanta  ","Parma     "
1,1,"Bari      ","Parma     "
0,0,"Cagliari  ","Parma     "
0,1,"Cremonese ","Parma     "
1,1,"Fiorentina","Parma     "
1,1,"Foggia    ","Parma     "
2,0,"Genoa     ","Parma     "
0,0,"Inter     ","Parma     "
1,0,"Juventus  ","Parma     "
1,1,"Lazio     ","Parma     "
2,0,"Milan     ","Parma     "
2,2,"Napoli    ","Parma     "
1,0,"Roma      ","Parma     "
2,0,"Sampdoria ","Parma     "
0,0,"Torino    ","Parma     "
1,0,"Verona    ","Parma     "
1,1,"Ascoli    ","Roma      "
0,1,"Atalanta  ","Roma      "
2,1,"Bari      ","Roma      "
0,1,"Cagliari  ","Roma      "
1,2,"Cremonese ","Roma      "
0,1,"Fiorentina","Roma      "
1,2,"Foggia    ","Roma      "
1,1,"Genoa     ","Roma      "
0,0,"Inter     ","Roma      "
2,1,"Juventus  ","Roma      "
1,1,"Lazio     ","Roma      "
4,1,"Milan     ","Roma      "
3,2,"Napoli    ","Roma      "
3,1,"Parma     ","Roma      "
1,1,"Sampdoria ","Roma      "
1,1,"Torino    ","Roma      "
0,1,"Verona    ","Roma      "
0,1,"Ascoli    ","Sampdoria "
0,0,"Atalanta  ","Sampdoria "
1,1,"Bari      ","Sampdoria "
3,2,"Cagliari  ","Sampdoria "
0,1,"Cremonese ","Sampdoria "
1,2,"Fiorentina","Sampdoria "
0,0,"Foggia    ","Sampdoria "
0,0,"Genoa     ","Sampdoria "
0,0,"Inter     ","Sampdoria "
0,0,"Juventus  ","Sampdoria "
1,2,"Lazio     ","Sampdoria "
5,1,"Milan     ","Sampdoria "
2,1,"Napoli    ","Sampdoria "
2,1,"Parma     ","Sampdoria "
2,0,"Roma      ","Sampdoria "
1,1,"Torino    ","Sampdoria "
0,0,"Verona    ","Sampdoria "
0,4,"Ascoli    ","Torino    "
1,3,"Atalanta  ","Torino    "
1,1,"Bari      ","Torino    "
0,1,"Cagliari  ","Torino    "
0,2,"Cremonese ","Torino    "
0,0,"Fiorentina","Torino    "
1,1,"Foggia    ","Torino    "
1,1,"Genoa     ","Torino    "
0,0,"Inter     ","Torino    "
1,0,"Juventus  ","Torino    "
2,1,"Lazio     ","Torino    "
2,0,"Milan     ","Torino    "
0,1,"Napoli    ","Torino    "
0,0,"Parma     ","Torino    "
1,0,"Roma      ","Torino    "
0,0,"Sampdoria ","Torino    "
1,2,"Verona    ","Torino    "
1,1,"Ascoli    ","Verona    "
0,0,"Atalanta  ","Verona    "
2,1,"Bari      ","Verona    "
4,0,"Cagliari  ","Verona    "
3,0,"Cremonese ","Verona    "
4,1,"Fiorentina","Verona    "
5,0,"Foggia    ","Verona    "
1,0,"Genoa     ","Verona    "
2,0,"Inter     ","Verona    "
2,0,"Juventus  ","Verona    "
2,0,"Lazio     ","Verona    "
4,0,"Milan     ","Verona    "
3,1,"Napoli    ","Verona    "
1,1,"Parma     ","Verona    "
1,0,"Roma      ","Verona    "
2,0,"Sampdoria ","Verona    "
0,0,"Torino    ","Verona    "
