TravelMode,GcostAir,GcostBus,GcostCar,GcostTrain,TtimeAir,TtimeBus,TtimeCar,TtimeTrain,HincAir,PsizeAir
bus,123,114,138,195,69,30,0,34,30,1
car,128,141,112,187,69,35,0,34,35,1
car,100,178,143,203,64,53,0,44,40,4
car,82,94,49,93,64,53,0,44,60,2
car,105,183,121,208,64,53,0,44,40,4
car,79,77,38,78,69,35,0,34,70,1
car,139,187,128,234,64,53,0,44,70,2
air,120,85,55,84,60,53,0,44,30,2
air,72,110,69,109,30,53,0,44,35,2
air,81,84,42,85,55,35,0,34,60,1
air,77,70,54,71,40,35,0,34,45,1
bus,65,45,48,69,69,40,0,34,45,1
bus,149,143,135,168,69,20,0,34,6,1
air,161,147,127,193,90,35,0,34,36,1
air,80,71,55,72,10,35,0,34,20,1
air,90,72,51,68,25,53,0,44,20,2
air,138,147,134,193,99,35,0,34,26,1
air,115,145,157,191,30,35,0,34,29,1
air,119,183,153,186,35,53,0,44,8,2
bus,123,111,137,197,69,15,0,34,32,1
bus,129,152,155,222,64,30,0,44,45,2
car,112,190,145,222,64,53,0,44,45,3
bus,129,154,151,220,64,30,0,44,26,2
car,71,70,46,71,69,35,0,34,60,1
train,77,78,63,92,64,53,0,10,10,2
car,131,176,102,222,64,53,0,44,45,2
car,108,175,116,207,64,53,0,44,60,3
bus,129,136,136,196,69,15,0,34,60,1
bus,119,104,133,142,69,25,0,34,8,1
car,127,192,134,239,64,53,0,44,60,2
car,138,213,128,217,64,53,0,44,12,2
car,123,144,117,190,69,35,0,34,45,1
bus,132,157,157,194,69,5,0,34,50,1
bus,113,122,125,182,69,45,0,34,26,1
car,101,173,103,205,64,53,0,44,35,3
train,125,143,147,146,69,35,0,30,12,1
train,140,146,141,158,69,35,0,30,15,1
train,117,193,150,171,64,53,0,99,12,4
train,119,183,149,183,64,53,0,25,35,3
train,129,140,140,108,69,35,0,15,26,1
train,121,134,131,109,69,35,0,45,6,1
train,124,140,140,115,69,35,0,30,4,1
train,128,183,155,152,64,53,0,10,40,2
train,168,206,188,208,64,53,0,10,40,1
air,123,144,144,190,45,35,0,34,60,1
air,150,153,143,156,45,35,0,34,4,1
air,129,170,148,220,60,35,0,34,50,1
air,190,187,166,234,60,53,0,44,60,2
air,133,147,142,193,60,35,0,34,70,1
air,93,86,58,85,60,53,0,44,40,2
air,85,82,52,81,45,53,0,44,35,3
air,192,193,170,245,75,53,0,44,60,2
air,112,162,159,208,30,35,0,34,60,1
air,89,90,57,89,90,53,0,44,50,2
air,96,98,49,96,45,53,0,44,40,3
air,89,68,46,69,60,35,0,34,60,1
air,104,72,48,73,75,35,0,34,20,1
car,93,151,82,179,64,53,0,44,50,3
car,87,135,93,156,64,53,0,44,70,4
car,91,126,85,153,64,53,0,44,50,3
car,96,107,98,147,69,35,0,34,26,1
car,89,125,90,147,64,53,0,44,45,4
car,80,129,76,145,64,53,0,44,45,6
car,91,96,78,136,69,35,0,34,30,1
car,93,131,100,159,64,53,0,44,40,3
car,106,147,87,187,64,53,0,44,50,2
bus,69,51,48,71,69,50,0,34,35,1
bus,74,47,52,74,69,15,0,34,34,1
bus,101,117,101,138,64,15,0,44,8,2
car,72,74,37,75,69,35,0,34,30,1
bus,141,128,151,207,69,30,0,34,32,1
bus,68,53,45,70,69,15,0,34,26,1
bus,71,47,49,73,69,15,0,34,42,1
air,72,123,113,163,90,53,0,44,50,1
air,104,85,56,84,15,53,0,44,70,2
car,71,79,45,80,69,35,0,34,30,1
car,72,72,43,73,69,35,0,34,26,1
train,64,83,56,114,64,53,0,20,26,3
train,97,73,58,104,64,53,0,50,18,2
train,69,83,55,66,64,53,0,30,35,2
bus,89,128,100,152,64,15,0,44,50,3
air,58,56,47,55,15,35,0,34,4,1
air,73,79,52,77,10,53,0,44,30,4
car,70,70,36,71,69,35,0,34,45,1
car,66,61,44,66,69,35,0,34,60,1
car,82,66,42,68,69,35,0,34,4,1
air,102,71,46,72,30,35,0,34,30,1
air,86,69,47,70,20,35,0,34,60,1
bus,129,113,109,152,64,30,0,44,4,2
train,58,73,53,60,64,53,0,10,18,3
train,72,65,54,78,64,53,0,10,15,2
car,69,68,39,70,69,35,0,34,26,1
air,122,96,90,136,30,35,0,34,40,1
air,76,84,51,83,5,53,0,44,70,2
air,73,83,54,81,5,53,0,44,45,4
bus,125,161,137,201,64,16,0,44,26,3
car,104,106,88,145,69,35,0,34,35,1
bus,72,54,53,57,69,5,0,34,4,1
bus,67,64,46,72,69,10,0,34,20,1
bus,123,119,131,184,69,30,0,34,45,1
car,94,95,108,135,69,35,0,34,40,1
air,141,95,95,135,45,35,0,34,40,1
bus,68,57,46,54,69,50,0,34,2,1
car,94,96,82,100,69,35,0,34,20,1
car,87,134,94,156,64,53,0,44,70,4
